epoch,step,train_loss,step_time_ms
1,0,0.269796,388.755
1,50,0.270133,311.641
1,100,0.252924,313.631
1,150,0.266877,314.956
1,200,0.206820,317.351
1,250,0.212606,317.167
1,300,0.194505,317.228
1,350,0.210065,317.362
1,400,0.220157,317.100
1,450,0.173077,317.457
1,500,0.169067,317.067
1,550,0.167880,317.562
1,600,0.154242,319.608
1,650,0.150361,317.333
1,700,0.144342,319.285
1,750,0.143147,318.154
2,0,0.128774,347.569
2,50,0.135449,317.183
2,100,0.126921,317.363
2,150,0.141526,317.708
2,200,0.107391,319.847
2,250,0.112654,320.978
2,300,0.103884,322.228
2,350,0.115384,323.368
2,400,0.126985,323.867
2,450,0.097120,324.092
2,500,0.097051,359.326
2,550,0.097581,325.482
2,600,0.094210,325.538
2,650,0.090835,325.933
2,700,0.090727,326.194
2,750,0.090484,327.163
3,0,0.080033,337.742
3,50,0.088213,324.491
3,100,0.082728,332.573
3,150,0.095742,327.532
3,200,0.075156,327.816
3,250,0.078378,327.259
3,300,0.073531,327.542
3,350,0.081104,327.751
3,400,0.092185,327.231
3,450,0.071221,329.262
3,500,0.072252,328.674
3,550,0.072643,325.491
3,600,0.074284,321.035
3,650,0.070196,321.433
3,700,0.072649,322.546
3,750,0.072083,318.904
4,0,0.063440,332.561
4,50,0.071717,322.616
4,100,0.067293,327.868
4,150,0.078665,322.688
4,200,0.065474,322.277
4,250,0.066873,322.833
4,300,0.063785,321.889
4,350,0.068491,321.375
4,400,0.078763,324.015
4,450,0.062619,321.075
4,500,0.063866,322.630
4,550,0.063764,323.429
4,600,0.068001,352.187
4,650,0.063130,324.443
4,700,0.066769,323.869
4,750,0.065698,324.645
5,0,0.057946,323.763
5,50,0.065998,319.502
5,100,0.061942,321.541
5,150,0.072091,322.058
5,200,0.063062,321.839
5,250,0.063163,320.203
5,300,0.060918,322.147
5,350,0.063733,321.108
5,400,0.073348,321.547
5,450,0.059902,319.783
5,500,0.061123,320.969
5,550,0.060584,321.385
5,600,0.066227,321.162
5,650,0.060765,322.313
5,700,0.064991,320.130
5,750,0.063509,320.995
6,0,0.056220,323.740
6,50,0.064040,321.044
6,100,0.060109,330.382
6,150,0.069446,320.863
6,200,0.062809,320.729
6,250,0.062062,319.283
6,300,0.060247,321.497
6,350,0.061872,319.580
6,400,0.071034,323.017
6,450,0.059132,319.561
6,500,0.060284,321.426
6,550,0.059434,321.237
6,600,0.065865,321.556
6,650,0.060008,321.134
6,700,0.064540,321.163
6,750,0.062775,320.115
7,0,0.055739,321.377
7,50,0.063385,320.470
7,100,0.059496,320.816
7,150,0.068320,321.038
7,200,0.063074,321.064
7,250,0.061797,319.609
7,300,0.060213,320.267
7,350,0.061107,320.326
7,400,0.069978,319.640
7,450,0.058973,320.104
7,500,0.060064,320.374
7,550,0.059012,320.652
7,600,0.065894,319.759
7,650,0.059786,319.244
7,700,0.064486,319.457
7,750,0.062538,328.713
8,0,0.055644,323.250
8,50,0.063176,319.748
8,100,0.059300,319.414
8,150,0.067808,318.667
8,200,0.063379,318.932
8,250,0.061777,319.264
8,300,0.060321,318.768
8,350,0.060773,319.497
8,400,0.069463,319.007
8,450,0.058984,318.707
8,500,0.060032,319.068
8,550,0.058853,319.458
8,600,0.065997,319.975
8,650,0.059734,318.858
8,700,0.064529,319.863
8,750,0.062468,319.182
9,0,0.055656,321.854
9,50,0.063114,319.403
9,100,0.059242,319.498
9,150,0.067559,318.806
9,200,0.063611,319.165
9,250,0.061814,320.509
9,300,0.060430,319.361
9,350,0.060616,319.672
9,400,0.069197,319.025
9,450,0.059027,319.411
9,500,0.060047,319.093
9,550,0.058791,325.111
9,600,0.066089,319.583
9,650,0.059732,319.136
9,700,0.064581,319.868
9,750,0.062452,325.576
10,0,0.055686,320.771
10,50,0.063100,319.860
10,100,0.059229,319.878
10,150,0.067430,318.656
10,200,0.063768,319.017
10,250,0.061853,318.551
10,300,0.060511,318.676
10,350,0.060539,318.736
10,400,0.069053,319.343
10,450,0.059066,319.095
10,500,0.060069,318.845
10,550,0.058766,319.182
10,600,0.066154,318.630
10,650,0.059741,319.682
10,700,0.064621,319.251
10,750,0.062450,319.601
11,0,0.055713,321.048
11,50,0.063100,319.141
11,100,0.059228,318.954
11,150,0.067361,318.771
11,200,0.063867,318.996
11,250,0.061882,318.560
11,300,0.060565,323.520
11,350,0.060498,319.355
11,400,0.068972,319.215
11,450,0.059094,318.907
11,500,0.060086,319.041
11,550,0.058755,318.915
11,600,0.066197,318.745
11,650,0.059750,318.701
11,700,0.064648,318.959
11,750,0.062453,321.849
12,0,0.055732,320.332
12,50,0.063102,321.283
12,100,0.059231,318.780
12,150,0.067322,318.767
12,200,0.063928,318.946
12,250,0.061901,318.759
12,300,0.060599,319.318
12,350,0.060475,319.635
12,400,0.068926,319.409
